ID,image_name,time,place,temperature,humidity,sun_light,soil_moist,API_health,API_water,API_water_def,validation,soil_validation
14,2025-07-16T09:03:55_Uni.jpg,2025-07-16T09:03:55,Uni,22.739,63.778,37942.0,0.0,79.8,0,0,yes,A
15,2025-07-16T09:04:50_Uni.jpg,2025-07-16T09:04:50,Uni,22.930,63.960,37942.0,16.618,86.2,6.8,0,yes,A
16,2025-07-16T09:05:35_Uni.jpg,2025-07-16T09:05:35,Uni,23.309,63.408,18910.0,11.926,40.3,11.3,0,yes,A
17,2025-07-16T09:06:26_Uni.jpg,2025-07-16T09:06:26,Uni,23.445,62.824,18910.0,0.0,72.1,6.8,0,yes,A
18,2025-07-16T09:07:03_Uni.jpg,2025-07-16T09:07:03,Uni,23.404,62.420,18910.0,0.0,54.8,13.8,0,yes,A
19,2025-07-16T09:07:43_Uni.jpg,2025-07-16T09:07:43,Uni,23.522,62.827,18910.0,0.0,89.6,0,0,yes,A
20,2025-07-16T09:08:42_Uni.jpg,2025-07-16T09:08:42,Uni,23.729,62.589,18910.0,0.0,76.5,0,0,yes,A
21,2025-07-16T09:09:36_Uni.jpg,2025-07-16T09:09:36,Uni,24.073,61.818,18910.0,7.429,86.6,3.4,0,yes,A
22,2025-07-16T09:10:30_Uni.jpg,2025-07-16T09:10:30,Uni,23.948,61.848,18910.0,0.0,60.1,8.8,0,yes,A
23,2025-07-16T09:11:03_Uni.jpg,2025-07-16T09:11:03,Uni,23.981,61.780,18910.0,21.701,35.4,0,0,yes,B
24,2025-07-16T09:12:00_Uni.jpg,2025-07-16T09:12:00,Uni,23.703,63.342,18910.0,90.323,79.0,0,0,yes,B
25,2025-07-16T09:13:08_Uni.jpg,2025-07-16T09:13:08,Uni,23.522,62.320,18910.0,0.0,67.8,0,0,yes,A
26,2025-07-16T09:13:44_Uni.jpg,2025-07-16T09:13:44,Uni,23.395,62.710,18910.0,1.466,81.4,0,0,yes,A
27,2025-07-16T09:14:49_Uni.jpg,2025-07-16T09:14:49,Uni,23.538,63.316,18910.0,3.128,81.6,0,0,yes,A
28,2025-07-16T09:15:40_Uni.jpg,2025-07-16T09:15:40,Uni,23.530,62.935,26962.0,8.309,84.0,0,0,yes,A
29,2025-07-16T09:16:57_Uni.jpg,2025-07-16T09:16:57,Uni,22.971,62.934,26962.0,33.431,85.6,0,0,yes,B
30,2025-07-16T09:17:53_Uni.jpg,2025-07-16T09:17:53,Uni,22.828,62.983,26962.0,13.978,48.7,0,0,yes,A
31,2025-07-16T09:18:34_Uni.jpg,2025-07-16T09:18:34,Uni,22.682,62.937,26962.0,94.819,76.5,10.2,0,yes,B
32,2025-07-16T09:19:04_Uni.jpg,2025-07-16T09:19:04,Uni,23.887,61.801,26962.0,12.512,95.1,4.7,0,yes,A
33,2025-07-16T09:19:57_Uni.jpg,2025-07-16T09:19:57,Uni,23.302,62.438,26962.0,24.438,77.6,0,0,yes,B
